Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA
2020-08-17,111.48075866699219,159.12049865722656,75.45050811767578,201.4662322998047,122.3759994506836,114.60749816894531,159.12049865722656,75.89900207519531,210.27999877929688,122.3759994506836,116.0875015258789,159.74850463867188,76.28050231933594,211.19000244140625,123.05733489990234,113.9625015258789,157.70899963378906,75.39849853515625,208.9199981689453,111.52200317382812,116.0625,158.656005859375,75.7334976196289,209.60000610351562,111.80000305175781,119561600,53824000,27566000,20184800,303634500
2020-08-18,112.40970611572266,165.62449645996094,77.46951293945312,202.6255340576172,125.80599975585938,115.5625,165.62449645996094,77.93000030517578,211.49000549316406,125.80599975585938,116.0,166.0,78.12349700927734,212.36000061035156,128.25999450683594,114.00749969482422,160.29100036621094,76.18550109863281,209.2100067138672,123.00733184814453,114.35250091552734,160.60000610351562,76.30899810791016,210.52999877929688,126.59933471679688,105633600,106920000,40542000,21336200,247117500
2020-08-19,112.55075073242188,163.0240020751953,76.91928100585938,201.39617919921875,125.23533630371094,115.7074966430664,163.0240020751953,77.37650299072266,209.6999969482422,125.23533630371094,117.1624984741211,165.7949981689453,78.68399810791016,212.10000610351562,127.4000015258789,115.61000061035156,162.8000030517578,77.19750213623047,209.25,122.74732971191406,115.98249816894531,165.15049743652344,77.66549682617188,211.49000549316406,124.33333587646484,145538000,83702000,33212000,27627600,183079500
2020-08-20,115.04821014404297,164.86849975585938,78.62017059326172,206.08299255371094,133.45533752441406,118.2750015258789,164.86849975585938,79.0875015258789,214.5800018310547,133.45533752441406,118.39250183105469,165.63099670410156,79.29350280761719,215.0,134.79933166503906,115.73249816894531,161.89999389648438,76.91000366210938,208.91000366210938,123.80400085449219,115.75,162.60000610351562,77.17250061035156,209.5399932861328,124.04533386230469,126907200,66650000,34138000,26981500,309177000
2020-08-21,120.97691345214844,164.23599243164062,78.5540771484375,204.5847625732422,136.6653289794922,124.37000274658203,164.23599243164062,79.02100372314453,213.02000427246094,136.6653289794922,124.86750030517578,165.72000122070312,79.88600158691406,216.25,139.69932556152344,119.25,163.76950073242188,78.40025329589844,212.85000610351562,135.00332641601562,119.26249694824219,164.75,78.85150146484375,213.86000061035156,136.3173370361328,338054800,71518000,28930000,36249300,322344000
2020-08-24,122.42383575439453,165.3730010986328,78.9407730102539,205.22821044921875,134.27999877929688,125.85749816894531,165.3730010986328,79.41000366210938,213.69000244140625,134.27999877929688,128.78500366210938,169.01600646972656,80.70850372314453,215.52000427246094,141.93333435058594,123.9375,162.8780059814453,79.02850341796875,212.42999267578125,128.50132751464844,128.69749450683594,165.50750732421875,79.6989974975586,214.7899932861328,141.7519989013672,345937600,93326000,28198000,25460100,300954000
2020-08-25,121.41947937011719,167.32449340820312,79.93585205078125,207.89813232421875,134.8893280029297,124.82499694824219,167.32449340820312,80.41100311279297,216.47000122070312,134.8893280029297,125.18000030517578,167.8699951171875,80.58100128173828,216.61000061035156,135.19667053222656,123.05249786376953,163.35000610351562,79.10350036621094,213.10000610351562,131.1999969482422,124.69750213623047,164.74949645996094,79.10350036621094,213.10000610351562,131.65933227539062,211495600,79856000,44942000,23043700,159883500
2020-08-26,123.07068634033203,172.09249877929688,82.13081359863281,212.39283752441406,143.54466247558594,126.52249908447266,172.09249877929688,82.61900329589844,221.14999389648438,143.54466247558594,126.99250030517578,172.58700561523438,82.96099853515625,222.08999633789062,144.39999389648438,125.0824966430664,167.22850036621094,80.18000030517578,217.36000061035156,136.90866088867188,126.18000030517578,167.5554962158203,80.4000015258789,217.8800048828125,137.3333282470703,163022400,130174000,79868000,39600800,213591000
2020-08-27,121.59945678710938,170.0,81.23363494873047,217.6077880859375,149.25,125.01000213623047,170.0,81.71649932861328,226.5800018310547,149.25,127.48500061035156,172.64999389648438,82.75,231.14999389648438,153.0399932861328,123.8324966430664,168.89999389648438,81.2874984741211,219.39999389648438,142.8333282470703,127.14250183105469,172.50250244140625,82.68399810791016,222.88999938964844,145.36399841308594,155552400,85296000,37232000,57602200,355395000
